id,code,question,A,B,C,D,answer
"1","C1-THI-251","Ai là người viết tác phẩm ""Tự chỉ trích""?","Nguyễn Văn Cừ.","Hà Huy Tập.","Lê Hồng Phong.","Phan Đăng Lưu.","A"
"2","C1-THI-243","Ai là Tổng Bí thư đầu tiên của Đảng Cộng sản Đông Dương?","Trần Phú.","Nguyễn Ái Quốc.","Lê Hồng Phong.","Trịnh Đình Cửu.","A"
"3","C1-THI-251","Ai là Tổng Bí thư thứ hai của Đảng Cộng sản Đông Dương?","Lê Hồng Phong.","Trần Phú.","Hà Huy Tập.","Nguyễn Văn Cừ.","A"
"4","C1-THI-251","Bài học kinh nghiệm hàng đầu trong đường lối cách mạng của Đảng được rút ra từ Cách mạng Tháng Tám năm 1945 là gì?","Giương cao ngọn cờ độc lập dân tộc, kết hợp và giải quyết đúng đắn hai nhiệm vụ chống đế quốc và chống phong kiến.","Nắm vững nghệ thuật khởi nghĩa, nghệ thuật chọn đúng thời cơ.","Toàn dân nổi dậy trên nền tảng khối liên minh công – nông.","Lợi dụng mâu thuẫn trong hàng ngũ kẻ thù.","A"
"5","C1-THI-251","Bài học nào được xác định là nguồn gốc sức mạnh của Cách mạng Tháng Tám năm 1945?","Giương cao ngọn cờ độc lập dân tộc, kết hợp đúng đắn hai nhiệm vụ chống đế quốc và chống phong kiến.","Nắm vững nghệ thuật khởi nghĩa, nghệ thuật chọn đúng thời cơ.","Toàn dân nổi dậy trên nền tảng khối liên minh công – nông.","Lợi dụng mâu thuẫn trong hàng ngũ kẻ thù.","A"
"6","C1-THI-243","Cách mạng Tháng Tám năm 1945 ở Việt Nam diễn ra nhanh chóng, ít đổ máu là do:","Đảng ta chọn đúng thời cơ phát động khởi nghĩa.","Đảng có sự chuyển hướng chỉ đạo chiến lược kịp thời.","Quân Đồng minh tấn công mạnh vào phát xít Nhật ở châu Á.","Quần chúng nhân dân đoàn kết, ủng hộ cách mạng.","A"
"7","C1-TLHDHT","Cao trào kháng Nhật cứu nước có đặc điểm:","Cả ba phương án kia đều đúng.","Có chiến tranh du kích cục bộ và khởi nghĩa từng phần.","Góp phần cùng phe Đồng minh tiêu diệt chủ nghĩa phát xít.","Thúc đẩy lực lượng trung gian ngả hẳn về phía cách mạng.","A"
"8","C1-THI-251","Cao trào Kháng Nhật cứu nước ở các đô thị chủ yếu diễn ra với hình thức nào?","Vũ trang tuyên truyền, diệt ác trừ gian.","Biểu tình, bãi công, đình công.","Phá kho thóc của Nhật.","Khởi nghĩa vũ trang.","A"
"9","C1-THI-251","Cao trào kháng Nhật cứu nước ở vùng thượng du và Trung du Bắc kỳ chủ yếu diễn ra với hình thức nào?","Chiến tranh du kích cục bộ.","Tổng tiến công và nổi dậy.","Tổng khởi nghĩa.","Tổng công kích.","A"
"10","C1-THI-243","Cao trào Kháng Nhật cứu nước thực chất là:","Một cuộc khởi nghĩa từng phần và chiến tranh du kích cục bộ.","Một cuộc tổng khởi nghĩa giành chính quyền.","Một cuộc tổng phản công.","Một cuộc tổng công kích.","A"
